#                        id   b      mag     nPix_g     nPix_s       sky    skyErr_s   skyStdErr_s    magErr_r    magErr_s    magErr_t    delMag_p    delMag_m
NGVSJ12:26:31.31+12:29:32.4   I   21.171       5987      33968     4.412   1.408e-01     7.039e-02   4.610e-02   1.739e-03   1.358e-01   1.268e-01   1.436e-01
NGVSJ12:26:31.31+12:29:32.4   Z   20.284      17887      34233     4.400   2.010e-01     1.005e-01   5.349e-02   1.895e-03   2.538e-01   2.278e-01   2.887e-01
NGVSJ12:26:32.25+12:36:38.5   U   13.647    1122465    3413854     0.500   1.028e-01     5.142e-02   1.811e-04   1.701e-05   1.803e-02   1.788e-02   1.817e-02
NGVSJ12:26:32.25+12:36:38.5   G   12.492    1988627    3413774     0.700   8.555e-02     4.277e-02   8.652e-05   6.501e-06   9.174e-03   9.129e-03   9.206e-03
NGVSJ12:26:32.25+12:36:38.5   R   11.854    2406135    3417015     0.600   6.406e-02     3.203e-02   7.874e-05   2.975e-06   4.622e-03   4.605e-03   4.625e-03
NGVSJ12:26:32.25+12:36:38.5   I   11.572    2911427    3449846     4.200   1.134e-01     5.668e-02   1.549e-04   4.467e-06   7.625e-03   7.595e-03   7.649e-03
NGVSJ12:26:32.25+12:36:38.5   Z   11.418    1988627    3451529     5.500   2.572e-01     1.286e-01   1.664e-04   7.268e-06   1.025e-02   1.020e-02   1.030e-02
NGVSJ12:26:32.68+13:25:25.8   U   20.960      44501      22071     0.181   3.635e-02     1.818e-02   3.471e-02   1.008e-03   2.133e-01   1.942e-01   2.366e-01
NGVSJ12:26:32.68+13:25:25.8   G   20.174      11717      22071     1.498   4.834e-02     2.417e-02   7.990e-03   3.334e-04   3.796e-02   3.550e-02   3.670e-02
NGVSJ12:26:32.68+13:25:25.8   R   19.359      30401      22070     0.579   2.635e-02     1.318e-02   9.523e-03   1.382e-04   2.542e-02   2.384e-02   2.437e-02
NGVSJ12:26:32.68+13:25:25.8   I   19.411       9685      22068     2.206   1.116e-01     5.579e-02   1.247e-02   3.465e-04   3.509e-02   3.358e-02   3.465e-02
NGVSJ12:26:32.68+13:25:25.8   Z   18.874      30401      22071     2.947   4.123e-01     2.062e-01   2.385e-02   1.383e-03   2.413e-01   2.178e-01   2.728e-01
NGVSJ12:26:33.21+12:44:34.7   U   17.135      66731     612934     0.280   1.249e-02     6.246e-03   1.108e-03   1.252e-05   4.345e-03   3.229e-03   3.238e-03
NGVSJ12:26:33.21+12:44:34.7   G   15.584     233171     612982     0.961   1.552e-02     7.762e-03   4.986e-04   6.969e-06   3.653e-03   3.360e-03   3.370e-03
NGVSJ12:26:33.21+12:44:34.7   R   14.868     341375     688663     0.832   7.319e-03     3.659e-03   4.658e-04   2.056e-06   1.577e-03   1.200e-03   1.202e-03
NGVSJ12:26:33.21+12:44:34.7   I   14.510     282119     646733     3.812   6.357e-02     3.178e-02   7.112e-04   1.167e-05   6.260e-03   6.182e-03   6.217e-03
NGVSJ12:26:33.21+12:44:34.7   Z   14.246     192733     624172     4.600   3.543e-02     1.772e-02   7.466e-04   4.217e-06   2.004e-03   1.850e-03   1.853e-03
NGVSJ12:26:35.84+13:22:44.7   U   22.105      23421      50097     0.244   1.430e-02     7.150e-03   6.159e-02   8.257e-04   1.296e-01   1.195e-01   1.343e-01
NGVSJ12:26:35.84+13:22:44.7   G   21.350      28331      44224     1.332   2.337e-02     1.168e-02   3.185e-02   7.404e-04   1.263e-01   1.180e-01   1.324e-01
NGVSJ12:26:35.84+13:22:44.7   R   20.712      10915      50096     0.542   5.138e-02     2.569e-02   1.675e-02   5.615e-04   6.057e-02   5.713e-02   6.031e-02
NGVSJ12:26:35.84+13:22:44.7   I   20.300      15989      43703     2.263   7.506e-02     3.753e-02   3.279e-02   6.793e-04   8.679e-02   8.266e-02   8.948e-02
NGVSJ12:26:35.84+13:22:44.7   Z   19.744      19345      50097     3.547   1.570e-01     7.850e-02   3.685e-02   9.364e-04   1.306e-01   1.230e-01   1.387e-01
NGVSJ12:26:36.32+12:48:10.0   U   18.994     110015     133106     0.461   9.063e-03     4.532e-03   7.733e-03   6.461e-05   2.249e-02   2.122e-02   2.164e-02
NGVSJ12:26:36.32+12:48:10.0   G   18.078     133125     150863     1.670   3.730e-02     1.865e-02   3.727e-03   1.258e-04   4.613e-02   4.497e-02   4.691e-02
NGVSJ12:26:36.32+12:48:10.0   R   17.545     110015     150955     2.225   7.847e-02     3.923e-02   3.121e-03   1.473e-04   4.897e-02   4.778e-02   4.998e-02
NGVSJ12:26:36.32+12:48:10.0   I   17.342     133125     153827     5.167   1.017e-01     5.086e-02   6.604e-03   1.742e-04   6.364e-02   6.177e-02   6.550e-02
NGVSJ12:26:36.32+12:48:10.0   Z   17.227      75167     161206     6.183   1.851e-01     9.253e-02   7.187e-03   2.142e-04   5.880e-02   5.719e-02   6.037e-02
NGVSJ12:26:37.74+12:43:48.1   U   22.953      25651      49489     0.266   1.008e-02     5.042e-03   1.410e-01   1.331e-03   2.173e-01   1.946e-01   2.373e-01
NGVSJ12:26:37.74+12:43:48.1   G   22.723        665      48156     0.942   2.153e-02     1.076e-02   1.881e-02   3.701e-04   3.923e-02   9.503e-03   9.587e-03
NGVSJ12:26:37.74+12:43:48.1   R   21.879       1995      48124     0.990   5.784e-02     2.892e-02   2.240e-02   7.916e-04   4.377e-02   3.479e-02   3.595e-02
NGVSJ12:26:37.74+12:43:48.1   I   21.999        665      49220     3.939   7.576e-02     3.788e-02   3.394e-02   6.685e-04   3.225e-02   1.710e-02   1.738e-02
NGVSJ12:26:37.74+12:43:48.1   Z   22.632        319      50416     4.930   1.216e-01     6.078e-02   6.829e-02   1.331e-03   4.355e-02   2.352e-02   2.404e-02
NGVSJ12:26:38.09+11:53:30.7   U   20.354      53253      61724     0.050   2.042e-02     1.021e-02   2.061e-02   3.543e-04   8.276e-02   7.884e-02   8.501e-02
NGVSJ12:26:38.09+11:53:30.7   G   19.433      94363      61724     0.590   1.974e-02     9.869e-03   1.087e-02   1.953e-04   6.056e-02   5.838e-02   6.170e-02
NGVSJ12:26:38.09+11:53:30.7   R   18.835     114191      61723     0.070   2.455e-02     1.228e-02   1.087e-02   1.540e-04   5.243e-02   5.084e-02   5.334e-02
NGVSJ12:26:38.09+11:53:30.7   I   18.658      94363      61722     2.000   5.906e-02     2.953e-02   1.796e-02   2.861e-04   8.809e-02   8.452e-02   9.166e-02
